season,player_name,team,role,is_overseas,base_price_cr,price_cr,acquisition,ball_name,match_method,matches_played,runs,balls_faced,fours,sixes,dismissals,runs_conceded,balls_bowled,wickets,strike_rate,economy,played
2022,Robin Uthappa,CSK,Batter,False,,2.0,sold,RV Uthappa,surname+initial,11.0,230.0,171.0,19.0,14.0,11.0,0.0,0.0,0.0,134.5,,True
2022,Dwayne Bravo,CSK,All-Rounder,True,,4.4,sold,DJ Bravo,manual,10.0,23.0,24.0,1.0,1.0,2.0,299.0,206.0,16.0,95.8,8.71,True
2022,Ambati Rayudu,CSK,Wicketkeeper,False,,6.75,sold,AT Rayudu,surname+initial,11.0,274.0,224.0,25.0,15.0,11.0,0.0,0.0,0.0,122.3,,True
2022,Deepak Chahar,CSK,Bowler,False,,14.0,sold,DL Chahar,surname+initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,C.Hari Nishaanth,CSK,Batter,False,,0.2,sold,,no_match,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,N. Jagadeesan,CSK,Wicketkeeper,False,,0.2,sold,N Jagadeesan,exact,2.0,40.0,37.0,3.0,1.0,1.0,0.0,0.0,0.0,108.1,,True
2022,K.M. Asif,CSK,Bowler,False,,0.2,sold,KM Asif,fuzzy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Tushar Deshpande,CSK,Bowler,False,,0.2,sold,TU Deshpande,surname+initial,2.0,0.0,0.0,0.0,0.0,0.0,63.0,42.0,1.0,,9.0,True
2022,Shivam Dube,CSK,All-Rounder,False,,4.0,sold,S Dube,surname+initial,11.0,289.0,185.0,22.0,16.0,10.0,36.0,12.0,0.0,156.2,18.0,True
2022,Chris Jordan,CSK,All-Rounder,True,,3.6,sold,CJ Jordan,surname+initial,4.0,11.0,8.0,0.0,0.0,1.0,135.0,77.0,2.0,137.5,10.52,True
