team,purchases,spend_cr,value_cr,played_pct,avg_availability,unused_cr,unused_pct,efficiency
DC,34,81.45,116.62762727927077,76,0.38088235294117645,6.300000000000001,7.7,1.43
GT,35,96.95,113.91817833511578,66,0.3291428571428571,21.3,22.0,1.18
MI,37,85.1,98.36674412664642,76,0.3589189189189189,15.399999999999999,18.1,1.16
LSG,34,91.0,105.70079451126219,68,0.33794117647058824,18.95,20.8,1.16
RCB,32,82.85,92.64185916923493,62,0.3153125,9.1,11.0,1.12
SRH,39,134.4,131.3602351823902,74,0.3874358974358974,4.95,3.7,0.98
PBKS,37,113.5,100.84165795515437,59,0.34945945945945944,7.85,6.9,0.89
RR,35,85.2,71.47488517728836,71,0.31657142857142856,2.4,2.8,0.84
CSK,34,94.4,71.4102864707895,65,0.3326470588235294,18.7,19.8,0.76
KKR,39,84.3,46.80773179284755,62,0.2817948717948718,11.55,13.7,0.56
